departamento,provincia,distrito,D,E,F,G,H,I,J,K,L,total
CAJAMARCA,CONTUMAZA,CONTUMAZA,,,,1,,,,,,1
CAJAMARCA,CHOTA,CHOTA,1,,1,,,,,,,2
CAJAMARCA,CHOTA,CONCHAN,,,1,,,,,,,1
CAJAMARCA,CHOTA,LLAMA,,,,,,1,,,,1
CAJAMARCA,CHOTA,TACABAMBA,1,,,,,,,,,1
CAJAMARCA,HUALGAYOC,BAMBAMARCA,,,,1,,,,,,1
CALLAO,CALLAO,BELLAVISTA,,,1,1,2,,,,,4
CALLAO,CALLAO,CALLAO,5,7,5,6,13,13,7,7,9,72
CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,,,1,,1,,1,,2,5
CALLAO,CALLAO,LA PERLA,,,1,,,,,1,1,3
CALLAO,CALLAO,MI PERU,,,,,1,,,,,1
CALLAO,CALLAO,VENTANILLA,4,3,7,18,3,11,2,2,,50
CUSCO,ANTA,ANTA,,,,,,,1,,,1
CUSCO,ANTA,CHINCHAYPUJIO,,,,,,,,1,,1
CUSCO,ANTA,HUAROCONDO,,,,,,1,,,,1
CUSCO,ANTA,MOLLEPATA,,,1,,,1,,,,2
CUSCO,ANTA,PUCYURA,,,,1,,,,,,1
CUSCO,ANTA,ZURITE,,1,1,,,,,,,2
CUSCO,CUSCO,CCORCA,1,,,,,,,,,1
CUSCO,CUSCO,CUSCO,4,,1,,1,1,,,1,8
CUSCO,CUSCO,POROY,2,,,,,,,,,2
CUSCO,CUSCO,SAN JERONIMO,,,1,,,3,1,1,,6
CUSCO,CUSCO,SAN SEBASTIAN,2,1,2,,2,2,3,,,12
CUSCO,CUSCO,SANTIAGO,4,1,2,3,1,,1,3,1,16
CUSCO,CUSCO,SAYLLA,,,,,,2,,,1,3
CUSCO,CUSCO,WANCHAQ,1,,,1,,2,,,,4
CUSCO,CHUMBIVILCAS,COLQUEMARCA,,,1,,,,,1,,2
CUSCO,CHUMBIVILCAS,LLUSCO,,,,,,,1,,,1
CUSCO,CHUMBIVILCAS,SANTO TOMAS,,,,,,2,,,,2
CUSCO,CHUMBIVILCAS,VELILLE,,,,,,,,1,,1
CUSCO,LA CONVENCION,ECHARATE,,,,1,,3,1,1,1,7
CUSCO,LA CONVENCION,HUAYOPATA,,,,,,1,,,,1
CUSCO,LA CONVENCION,INKAWASI,,,,,,,,,1,1
CUSCO,LA CONVENCION,KIMBIRI,,1,2,2,,,,2,2,9
CUSCO,LA CONVENCION,OCOBAMBA,,,1,,,,,,,1
CUSCO,LA CONVENCION,PICHARI,,,,1,1,1,1,1,,5
CUSCO,LA CONVENCION,SANTA ANA,,,1,1,1,,2,,,5
CUSCO,LA CONVENCION,VILLA VIRGEN,,,,,,,1,,,1
CUSCO,CALCA,CALCA,,,1,,1,,,,,2
CUSCO,CALCA,LAMAY,1,,,,,1,,,,2
CUSCO,CALCA,PISAC,,1,,,,,1,,,2
CUSCO,CALCA,SAN SALVADOR,1,,,,,,,,,1
CUSCO,CALCA,TARAY,1,,,,,,,,,1
CUSCO,CALCA,YANATILE,,,1,,,,,,,1
CUSCO,URUBAMBA,MARAS,,,,1,,,,,,1
CUSCO,URUBAMBA,OLLANTAYTAMBO,2,,,1,,,,,,3
CUSCO,URUBAMBA,URUBAMBA,1,,,,,,,,,1
CUSCO,PAUCARTAMBO,CHALLABAMBA,1,,,,1,,,,,2
CUSCO,PAUCARTAMBO,HUANCARANI,,,,1,,1,,1,,3
CUSCO,PAUCARTAMBO,KOSÑIPATA,,,,1,1,,,,,2
CUSCO,QUISPICANCHI,CCATCA,,,,,,,1,,,1
CUSCO,QUISPICANCHI,OROPESA,,,,,3,2,1,,,6
CUSCO,QUISPICANCHI,QUIQUIJANA,,,1,,,,,,,1
CUSCO,QUISPICANCHI,URCOS,,,,,,1,,,,1
CUSCO,CANCHIS,CHECACUPE,,,,,,,,1,,1
CUSCO,CANCHIS,SAN PABLO,,,,,,,1,,,1
CUSCO,CANCHIS,SICUANI,1,1,,2,3,1,1,1,,10
CUSCO,CANCHIS,TINTA,,,,,,,1,,,1
CUSCO,PARURO,ACCHA,,,,,,1,,,,1
CUSCO,PARURO,HUANOQUITE,,,1,,,,,,,1
CUSCO,CANAS,PAMPAMARCA,,,,,,,1,,,1
HUANCAVELICA,TAYACAJA,AHUAYCHA,,,,,1,,,,,1
HUANCAVELICA,TAYACAJA,COLCABAMBA,1,,,,,,,,,1
HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,,1,,,1,,,,,2
HUANCAVELICA,TAYACAJA,PAMPAS,,,,,,1,,,,1
HUANCAVELICA,TAYACAJA,PICHOS,,,,,,,,1,,1
HUANCAVELICA,HUANCAVELICA,ASCENSION,,1,,,,,,,,1
HUANCAVELICA,ANGARAES,LIRCAY,1,,,,,,,,,1
HUANCAVELICA,CHURCAMPA,COSME,,,,,,1,,,,1
HUANCAVELICA,HUAYTARA,CORDOVA,1,,,,,,,,,1
HUANCAVELICA,HUAYTARA,PILPICHACA,,,,,,,,1,,1
HUANUCO,HUAMALIES,JACAS GRANDE,,,,,,1,,,,1
HUANUCO,HUAMALIES,MONZON,,,,,1,,,,,1
HUANUCO,HUANUCO,AMARILIS,,2,1,,,,1,2,,6
HUANUCO,HUANUCO,CHURUBAMBA,,,,,,,1,,,1
HUANUCO,HUANUCO,HUANUCO,2,,,2,,2,1,2,1,10
HUANUCO,HUANUCO,PILLCO MARCA,,,1,1,1,,1,,,4
HUANUCO,HUANUCO,SAN PABLO DE PILLAO,,,,,,,1,,,1
HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,1,,,,,,,,,1
HUANUCO,PACHITEA,MOLINO,,,,,,,,2,,2
HUANUCO,PACHITEA,PANAO,,1,,,2,1,,2,1,7
HUANUCO,PACHITEA,UMARI,1,,,,,2,1,,,4
HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,,,1,,,,,,,1
HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,1,,,,,,,,,1
HUANUCO,LEONCIO PRADO,RUPA-RUPA,2,,,,,1,,,,3
HUANUCO,HUACAYBAMBA,COCHABAMBA,,,,1,,,,,,1
HUANUCO,DOS DE MAYO,MARIAS,,,,1,,,,,,1
HUANUCO,PUERTO INCA,PUERTO INCA,,,,2,1,,,1,,4
HUANUCO,PUERTO INCA,YUYAPICHIS,,,,,,1,,,,1
HUANUCO,AMBO,AMBO,,,,,,,,1,,1
HUANUCO,AMBO,HUACAR,,,,,,,,1,,1
ICA,ICA,ICA,,,1,,,1,,2,2,6
ICA,ICA,LA TINGUIÑA,,,,,,,,2,,2
ICA,ICA,LOS AQUIJES,,,,,,,,,1,1
ICA,ICA,PACHACUTEC,,,,,,,,,1,1
ICA,ICA,SANTIAGO,,,1,,,,,,1,2
ICA,ICA,SUBTANJALLA,,,,,,,,,1,1
ICA,ICA,YAUCA DEL ROSARIO,,,,,1,,,,,1
ICA,CHINCHA,CHINCHA ALTA,,,,2,,,,3,1,6
ICA,CHINCHA,CHINCHA BAJA,,,,,,,,1,,1
ICA,CHINCHA,GROCIO PRADO,,,,1,1,2,,,,4
ICA,CHINCHA,PUEBLO NUEVO,,,3,1,,3,1,,,8
ICA,CHINCHA,SUNAMPE,,,,1,1,,1,,,3
ICA,PISCO,PISCO,,,,1,3,3,,1,5,13
ICA,PISCO,SAN CLEMENTE,,,,,,,,,1,1
ICA,PISCO,TUPAC AMARU INCA,,,,2,,,,,,2
ICA,NAZCA,CHANGUILLO,,,1,,,,,,,1
ICA,PALPA,PALPA,,,1,,1,,,,,2
JUNIN,SATIPO,COVIRIALI,,,,,,,,,2,2
JUNIN,SATIPO,MAZAMARI,1,,1,3,,,,1,3,9
JUNIN,SATIPO,PAMPA HERMOSA,,,,,1,,,,,1
JUNIN,SATIPO,PANGOA,,1,3,2,,,,,1,7
JUNIN,SATIPO,RIO NEGRO,,,1,1,2,,,2,1,7
JUNIN,SATIPO,RIO TAMBO,,,,,,,,1,3,4
JUNIN,SATIPO,SATIPO,,,4,,1,,,7,9,21
JUNIN,TARMA,TARMA,,1,,,,,,,,1
JUNIN,HUANCAYO,CHILCA,1,3,2,1,,2,2,1,2,14
JUNIN,HUANCAYO,EL TAMBO,1,2,1,1,,,2,1,2,10
JUNIN,HUANCAYO,HUANCAN,,,,,,,1,,1,2
JUNIN,HUANCAYO,HUANCAYO,6,,2,3,1,,1,3,,16
JUNIN,HUANCAYO,HUAYUCACHI,,,,,,,1,,,1
JUNIN,HUANCAYO,PARIAHUANCA,1,2,,,,,,,,3
JUNIN,HUANCAYO,PILCOMAYO,,,,,1,,,1,,2
JUNIN,HUANCAYO,SAN AGUSTIN,,2,,1,,,,,,3
JUNIN,HUANCAYO,SAN JERONIMO DE TUNAN,,,,,1,,,,,1
JUNIN,HUANCAYO,SAPALLANGA,,1,,1,,,,,,2
JUNIN,HUANCAYO,SICAYA,,1,,,,,1,,,2
JUNIN,CHANCHAMAYO,CHANCHAMAYO,,,,,,,1,1,1,3
JUNIN,CHANCHAMAYO,PERENE,,,1,1,2,1,2,,1,8
JUNIN,CHANCHAMAYO,PICHANAQUI,,1,,,,1,,1,1,4
JUNIN,CHANCHAMAYO,SAN RAMON,,,,,,,,1,,1
JUNIN,YAULI,LA OROYA,,,1,,,1,,,,2
JUNIN,CONCEPCION,ANDAMARCA,,,1,,,,,,,1
JUNIN,CONCEPCION,CONCEPCION,,,2,,,,,,,2
JUNIN,CONCEPCION,MATAHUASI,,,,1,,,1,,,2
JUNIN,JAUJA,HUAMALI,,,,,,1,,,,1
JUNIN,CHUPACA,CHONGOS BAJO,,1,2,,,,,,,3
JUNIN,CHUPACA,CHUPACA,1,,,,,,,1,,2
JUNIN,CHUPACA,TRES DE DICIEMBRE,,,1,,,,,,,1
LA LIBERTAD,ASCOPE,ASCOPE,,,,,,,,1,1,2
LA LIBERTAD,ASCOPE,CASA GRANDE,3,,,,,,,,,3
LA LIBERTAD,ASCOPE,CHICAMA,1,,,,,,,,,1
LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,,,,1,,,,,,1
LA LIBERTAD,ASCOPE,PAIJAN,,1,1,,,1,,,,3
LA LIBERTAD,ASCOPE,RAZURI,,,,,,1,,,,1
LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,,,,1,,,,,,1
LA LIBERTAD,TRUJILLO,EL PORVENIR,5,1,8,6,2,5,,2,5,34
LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,1,,1,,3,6,3,4,3,21
LA LIBERTAD,TRUJILLO,HUANCHACO,,6,,,2,1,2,1,1,13
LA LIBERTAD,TRUJILLO,LA ESPERANZA,4,9,7,8,1,5,3,2,5,44
LA LIBERTAD,TRUJILLO,LAREDO,2,1,2,,,,1,,,6
LA LIBERTAD,TRUJILLO,MOCHE,1,,,1,,,1,,,3
LA LIBERTAD,TRUJILLO,SALAVERRY,1,,,,2,,,,,3
LA LIBERTAD,TRUJILLO,TRUJILLO,5,4,2,1,2,5,,6,2,27
LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,,,,,3,1,,,2,6
LA LIBERTAD,PACASMAYO,GUADALUPE,1,,,,,,,,,1
LA LIBERTAD,PACASMAYO,PACASMAYO,,1,,,,,,1,,2
LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,,1,,,,,,1,,2
LA LIBERTAD,CHEPEN,CHEPEN,,,,,,,,,1,1
LA LIBERTAD,VIRU,CHAO,,,,,1,6,1,4,3,15
LA LIBERTAD,VIRU,VIRU,1,,,,,,2,4,4,11
LA LIBERTAD,PATAZ,PARCOY,1,,1,,,,,,1,3
LA LIBERTAD,PATAZ,TAYABAMBA,,,1,,1,,,,,2
LA LIBERTAD,SANCHEZ CARRION,CHUGAY,,,,,,1,,,,1
LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,,2,,,,1,1,1,2,7
LA LIBERTAD,SANCHEZ CARRION,SARIN,,,,,,1,,,,1
LA LIBERTAD,OTUZCO,OTUZCO,,,,,1,,,,,1
LA LIBERTAD,OTUZCO,SINSICAP,,1,,,,,,,,1
LA LIBERTAD,OTUZCO,USQUIL,,,1,1,,,,,,2
LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA,,,,,,,2,1,,3
LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,,,,,,,,,1,1
LAMBAYEQUE,CHICLAYO,CAYALTI,,,1,,,,,,,1
LAMBAYEQUE,CHICLAYO,CHICLAYO,1,2,1,2,2,1,,,1,10
LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,1,1,3,1,,6,,,,12
LAMBAYEQUE,CHICLAYO,LA VICTORIA,,,1,,1,,,,,2
LAMBAYEQUE,CHICLAYO,PATAPO,,,,,,,,,1,1
LAMBAYEQUE,CHICLAYO,PIMENTEL,1,,,,1,,,,,2
LAMBAYEQUE,CHICLAYO,POMALCA,1,,1,,,,,,,2
LAMBAYEQUE,CHICLAYO,SAÑA,,,1,,,,,,,1
LAMBAYEQUE,CHICLAYO,SANTA ROSA,,,,,1,,,,,1
LAMBAYEQUE,LAMBAYEQUE,ILLIMO,,1,,,1,,,,,2
LAMBAYEQUE,LAMBAYEQUE,JAYANCA,,,,,,1,,1,1,3
LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,,1,3,,,1,,,1,6
LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,,,1,,,,,1,,2
LAMBAYEQUE,LAMBAYEQUE,MORROPE,,,1,,,,,,,1
LAMBAYEQUE,LAMBAYEQUE,MOTUPE,,,,1,1,,,,,2
LAMBAYEQUE,LAMBAYEQUE,OLMOS,1,,,,,,,,,1
LAMBAYEQUE,LAMBAYEQUE,PACORA,,,,,,,,1,,1
LAMBAYEQUE,FERREÑAFE,FERREÑAFE,,,,,,,,1,,1
LIMA,LIMA,ANCON,,1,,,,,1,,,2
LIMA,LIMA,ATE,11,7,3,4,14,14,17,10,20,100
LIMA,LIMA,BARRANCO,1,,1,,1,,,,,3
LIMA,LIMA,BREÑA,1,,1,,1,,2,1,2,8
LIMA,LIMA,CARABAYLLO,2,3,1,1,1,2,4,1,4,19
LIMA,LIMA,CHACLACAYO,1,,,,1,,,2,,4
LIMA,LIMA,CHORRILLOS,1,3,,1,1,2,3,7,3,21
LIMA,LIMA,CIENEGUILLA,,,,,,,,,3,3
LIMA,LIMA,COMAS,3,3,,2,14,13,5,3,14,57
LIMA,LIMA,EL AGUSTINO,4,7,2,3,9,15,13,26,18,97
LIMA,LIMA,INDEPENDENCIA,1,1,,1,5,6,3,5,1,23
LIMA,LIMA,JESUS MARIA,1,,,1,1,2,,3,1,9
LIMA,LIMA,LA MOLINA,2,,,,1,,3,1,1,8
LIMA,LIMA,LA VICTORIA,9,10,8,8,6,1,10,9,7,68
LIMA,LIMA,LIMA,12,6,4,10,12,6,23,11,13,97
LIMA,LIMA,LOS OLIVOS,,3,,2,2,8,4,1,4,24
LIMA,LIMA,LURIGANCHO,3,2,,,7,,4,1,4,21
LIMA,LIMA,LURIN,,,,2,1,2,3,3,2,13
LIMA,LIMA,MAGDALENA DEL MAR,,,,,2,2,2,,,6
LIMA,LIMA,MIRAFLORES,,1,,,,,,,,1
LIMA,LIMA,PACHACAMAC,3,,,1,4,,6,4,2,20
LIMA,LIMA,PUCUSANA,,,,1,,,,,,1
LIMA,LIMA,PUEBLO LIBRE,1,,1,1,,1,,2,2,8
LIMA,LIMA,PUENTE PIEDRA,10,3,4,4,4,4,11,8,6,54
LIMA,LIMA,RIMAC,4,,,3,4,6,4,5,3,29
LIMA,LIMA,SAN BARTOLO,,,,,1,,,,,1
LIMA,LIMA,SAN BORJA,1,,1,1,,,,,,3
LIMA,LIMA,SAN ISIDRO,,,,,1,,,,,1
LIMA,LIMA,SAN JUAN DE LURIGANCHO,21,10,2,19,32,26,29,30,20,189
LIMA,LIMA,SAN JUAN DE MIRAFLORES,4,3,,4,7,3,1,4,12,38
LIMA,LIMA,SAN LUIS,1,1,1,,,,1,1,,5
LIMA,LIMA,SAN MARTIN DE PORRES,6,7,2,8,10,17,6,10,6,72
LIMA,LIMA,SAN MIGUEL,1,,,1,3,,3,1,,9
LIMA,LIMA,SANTA ANITA,4,4,,6,3,3,7,12,10,49
LIMA,LIMA,SANTIAGO DE SURCO,2,,1,1,1,4,2,,2,13
LIMA,LIMA,SURQUILLO,1,1,2,,1,,,1,,6
LIMA,LIMA,VILLA EL SALVADOR,1,3,,6,12,8,7,6,12,55
LIMA,LIMA,VILLA MARIA DEL TRIUNFO,,3,1,3,5,2,3,6,7,30
LIMA,BARRANCA,BARRANCA,1,,,1,,,,,3,5
LIMA,BARRANCA,PARAMONGA,2,1,1,,,,,,,4
LIMA,BARRANCA,SUPE,,,,,,,,,2,2
LIMA,HUAROCHIRI,HUAROCHIRI,,,,,,1,,2,,3
LIMA,HUAROCHIRI,RICARDO PALMA,,,,,1,,,,,1
LIMA,HUAROCHIRI,SAN ANTONIO,,,,,1,1,,,1,3
LIMA,HUAROCHIRI,SAN BARTOLOME,,,,,,,,,1,1
LIMA,HUAURA,CALETA DE CARQUIN,,,,,,,1,,,1
LIMA,HUAURA,HUACHO,,1,,,1,2,2,,1,7
LIMA,HUAURA,HUALMAY,,,,,2,,,,,2
LIMA,HUAURA,HUAURA,,,1,,1,2,2,,,6
LIMA,HUAURA,SANTA MARIA,,,,,2,2,,1,,5
LIMA,HUAURA,SAYAN,,,,,,,,,1,1
LIMA,HUAURA,VEGUETA,,,,,,,1,,,1
LIMA,HUARAL,ATAVILLOS BAJO,,,,,,1,,,,1
LIMA,HUARAL,CHANCAY,,,1,,,2,,3,,6
LIMA,CAÑETE,ASIA,,,,,,1,,,,1
LIMA,CAÑETE,CHILCA,,,,,,,,2,,2
LIMA,CAÑETE,IMPERIAL,,,1,,,,2,2,,5
LIMA,CAÑETE,LUNAHUANA,,,,,1,,,,1,2
LIMA,CAÑETE,MALA,,,1,,,,1,,2,4
LIMA,CAÑETE,NUEVO IMPERIAL,,,,,1,,,,1,2
LIMA,CAÑETE,QUILMANA,,,,,,,,,1,1
LIMA,CAÑETE,SAN VICENTE DE CAÑETE,,2,,,3,2,,1,3,11
LIMA,CAJATAMBO,GORGOR,,,,1,,,,,,1
LIMA,CAÑETE,SAN ANTONIO,,,,,1,,,,,1
LORETO,MAYNAS,ALTO NANAY,1,,,,1,,,,,2
LORETO,MAYNAS,BELEN,3,1,,1,,,,,,5
LORETO,MAYNAS,FERNANDO LORES,,,,,,1,,,,1
LORETO,MAYNAS,IQUITOS,,3,,2,3,1,,,1,10
LORETO,MAYNAS,MAZAN,,,,1,,,,,,1
LORETO,MAYNAS,PUNCHANA,,,1,8,3,2,,2,,16
LORETO,MAYNAS,SAN JUAN BAUTISTA,,1,,,2,2,1,,,6
LORETO,ALTO AMAZONAS,BALSAPUERTO,,,1,,,,,,,1
LORETO,ALTO AMAZONAS,LAGUNAS,,,,1,,,,,1,2
LORETO,ALTO AMAZONAS,SANTA CRUZ,,,,,,,,1,1,2
LORETO,ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,1,,,,,,,,,1
LORETO,ALTO AMAZONAS,YURIMAGUAS,2,2,2,1,3,1,,,11,22
LORETO,DATEM DEL MARAÑON,BARRANCA,,,,2,,,,,2,4
LORETO,DATEM DEL MARAÑON,MANSERICHE,,,,,,,,,1,1
LORETO,UCAYALI,CONTAMANA,3,,,,,,,,,3
LORETO,LORETO,NAUTA,,,,,1,1,,,,2
LORETO,LORETO,TIGRE,,,,,1,1,,,,2
LORETO,PUTUMAYO,PUTUMAYO,,,,,,1,,,,1
LORETO,REQUENA,ALTO TAPICHE,,,,,1,,,,,1
LORETO,REQUENA,REQUENA,,,,,1,1,,,,2
LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,,,,,1,,,,,1
LORETO,MARISCAL RAMON CASTILLA,YAVARI,,,,,,1,,,,1
MADRE DE DIOS,TAMBOPATA,INAMBARI,1,1,,1,2,3,,,,8
MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,,,,,2,1,,,,3
MADRE DE DIOS,TAMBOPATA,TAMBOPATA,2,,1,10,17,11,6,,,47
MADRE DE DIOS,MANU,HUEPETUHE,,,,,1,1,,,,2
MADRE DE DIOS,MANU,MADRE DE DIOS,,,,,2,2,,,,4
MADRE DE DIOS,TAHUAMANU,IBERIA,,,,,,,1,,,1
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,1,,,,,,,,2,3
MOQUEGUA,ILO,ILO,4,1,,1,,,,,3,9
PASCO,OXAPAMPA,CHONTABAMBA,,,,,1,,,,,1
PASCO,OXAPAMPA,CONSTITUCION,,,,1,1,,,,,2
PASCO,OXAPAMPA,OXAPAMPA,1,,1,1,,,,,,3
PASCO,OXAPAMPA,PALCAZU,,1,1,3,,1,1,,,7
PASCO,OXAPAMPA,POZUZO,1,1,1,,1,1,1,,,6
PASCO,OXAPAMPA,PUERTO BERMUDEZ,1,1,2,7,4,1,,2,4,22
PASCO,OXAPAMPA,VILLA RICA,,,,,2,,2,,,4
PASCO,PASCO,CHAUPIMARCA,,,,1,,,,2,1,4
PASCO,PASCO,HUARIACA,,,,,2,,1,,,3
PASCO,PASCO,HUAYLLAY,,,,,,1,,,1,2
PASCO,PASCO,PALLANCHACRA,,,,,,,,1,,1
PASCO,PASCO,SIMON BOLIVAR,,,,,,,,,1,1
